;SPV_event_date;SPV_event_value;WON_event_date;WON_event_value
93;2008-07-23;-7,591947863897717;2007-12-17;-39,36463608333333
94;1992-06-08;-7,57519036600735;2015-02-18;-39,17052564516129
95;2007-07-02;-7,563435136524113;1991-11-29;-39,154949758064504
96;1998-04-16;-7,461597856753296;1997-03-12;-39,01785806451612
97;1999-03-25;-7,455563190803461;2008-12-07;-39,0114947580645
98;2000-05-29;-7,406319208160127;1999-03-18;-38,94976008064515
99;1991-06-04;-7,360626720907743;2009-01-08;-38,814774645833346
100;2012-04-06;-7,3068133204730215;2012-02-11;-38,731826290322566
101;1998-09-05;-7,293056289079727;2007-10-11;-38,70272556451613
102;1996-06-26;-7,281169425627862;2017-11-10;-38,61418774193548
103;1993-10-04;-7,211146952994957;1997-01-21;-38,55113840053763
104;2004-08-28;-7,204550185581776;2014-11-24;-38,54212540322581
105;2006-08-15;-7,179620039193812;1996-12-19;-38,533591155913975
106;1994-03-04;-7,1707311977577675;2003-12-11;-38,51715967741935
107;1998-05-02;-7,149294405289703;1996-10-14;-38,50104911290322
108;2013-05-18;-7,136965270273132;2003-03-26;-38,36057935483869
109;2002-05-12;-7,097974608718954;2018-02-10;-38,334775887096775
110;2018-06-20;-7,093492066205031;1997-09-29;-38,15072814516128
111;2001-03-15;-7,089432316467887;2008-11-05;-38,107685806451606
112;2015-08-19;-7,088728120793269;2013-11-23;-37,78383645161287
113;2011-09-13;-7,068394807618614;2010-11-22;-37,77120653225807
114;2006-04-27;-7,060130987252128;1991-02-22;-37,73903758064517
115;1994-05-03;-7,049567558782716;2016-03-19;-37,72600887096774
116;1993-08-06;-7,0330756124866065;1992-12-25;-37,71510724999998
117;1998-03-19;-6,97701775327578;2020-12-03;-37,696219112903215
118;2020-06-12;-6,953790851853002;2012-10-27;-37,612081451612895
119;2003-05-03;-6,9123593231627165;2009-02-22;-37,487037580645165
120;2002-06-14;-6,88203903554153;2012-11-20;-37,3250020967742
121;1996-05-31;-6,858296618762827;2005-11-24;-37,0464254032258
122;2008-03-14;-6,784212749982989;2017-02-07;-37,016088306451614
123;2015-07-20;-6,772237018008699;2006-01-05;-36,972657250000005
124;1999-03-05;-6,766202479377189;2014-12-07;-36,939091935483866
125;2011-08-31;-6,751518567874867;2018-10-23;-36,91946717741936
126;2002-07-13;-6,744208866501184;2021-11-17;-36,77564088709677
127;2020-10-07;-6,716877530898276;2011-10-02;-36,7276868548387
128;1994-06-23;-6,714770815396674;2000-12-29;-36,58052724999999
129;2010-11-03;-6,685466703257472;2002-10-04;-36,577203306451594
130;2005-08-07;-6,6527455359092205;2000-01-03;-36,54468841666667
131;2006-09-04;-6,649479305102298;1995-12-30;-36,42682724999999
132;1992-07-18;-6,641271657246661;1994-12-25;-36,32992891666665
133;1996-05-04;-6,638210692977511;1998-12-02;-36,047582741935486
134;2012-06-12;-6,625600593752998;2007-12-27;-36,02997866666667
135;2007-06-20;-6,6064214196250335;2012-03-29;-35,98862056451614
136;1997-03-26;-6,588473170098729;2002-11-23;-35,9842364516129
137;1993-04-20;-6,584028780234028;1996-03-26;-35,939519354838716
138;1994-05-12;-6,557037655248946;2011-01-02;-35,860159499999995
139;2004-02-08;-6,5362038456761;2010-12-22;-35,852788916666675
140;2016-05-31;-6,525758930472817;2002-12-06;-35,70346846774194
141;2009-10-06;-6,524880054629401;2002-04-22;-35,64134088709676
142;2008-08-14;-6,5236652609308114;2016-11-13;-35,62387274193549
143;1997-05-06;-6,521839737294628;2021-01-10;-35,594559
144;1994-09-09;-6,4838471669972355;2017-09-25;-35,25454266129033
145;2021-03-14;-6,468984118098797;2004-11-05;-35,2168858064516
146;1996-11-04;-6,456144328784149;2011-03-07;-35,171035816970566
147;2021-07-16;-6,44012685094099;1996-12-30;-34,97923608333335
148;2004-05-15;-6,430804907370737;2004-01-06;-34,8723105
149;1994-03-10;-6,425144463103188;1997-10-23;-34,84766717741937
150;2006-02-22;-6,422257164910997;2014-04-06;-34,8445627419355
151;1995-06-23;-6,422189314856675;2018-03-30;-34,81122056451615
152;2004-02-18;-6,419437621286916;1993-04-04;-34,66435233870968
153;2004-03-21;-6,412140192406701;2020-01-02;-34,619959499999986
154;2021-02-09;-6,402900131701079;2015-04-11;-34,49413290322582
155;2010-03-21;-6,386121595463697;1995-12-04;-34,431119112903204
156;2009-03-01;-6,3842275036598854;2001-12-20;-34,41859115591396
157;2016-07-03;-6,368573225089366;2003-02-23;-34,404038629032264
158;2004-08-19;-6,350912011701386;1999-02-04;-34,39125387096774
159;1998-04-03;-6,307812717029;2005-09-25;-34,33044266129033
160;2007-05-19;-6,288140773450359;2003-03-31;-34,313578709677415
161;1993-09-04;-6,2780948728482935;2014-01-25;-34,23290040591399
162;1996-03-24;-6,263193133353461;2015-03-25;-34,1410339516129
163;1992-04-02;-6,2553492462290015;2008-09-23;-34,030543225806454
164;2001-06-04;-6,243223864437744;2004-03-31;-34,01878991935484
165;2021-06-26;-6,23186484041891;2019-11-11;-33,92733274193547
166;2021-07-01;-6,207612135544691;2003-12-05;-33,88544024193547
167;1993-09-17;-6,200880195879041;2002-11-06;-33,73548580645162
168;1998-09-16;-6,196749060126566;2012-03-07;-33,70745508064516
169;1998-05-08;-6,192314598272478;2012-03-18;-33,53803370967743
170;2013-05-28;-6,1832382136844934;2001-11-21;-33,46780209677421
171;2001-04-02;-6,177708510883961;2015-10-31;-33,42000411290322
172;2007-07-07;-6,168408622484951;2014-10-05;-33,392183145161276
173;1997-10-09;-6,155239469371738;2010-03-12;-33,38625806451612
174;1994-03-30;-6,151141656002027;2009-11-12;-33,300267661290334
175;1995-09-15;-6,122336681884578;2008-04-12;-33,29772588709678
176;2019-07-13;-6,11782060580118;2015-10-26;-33,24395750000001
177;1998-06-26;-6,113293012378906;2016-09-24;-33,15124266129032
178;2002-07-26;-6,091934266705069;2021-01-05;-33,12954514583336
179;2021-05-16;-6,084387350254639;2021-11-30;-33,022409919354835
180;2013-06-24;-6,082931720606457;2019-04-05;-32,71369217741936
181;2009-02-23;-6,056067543536225;2006-03-26;-32,56907935483873
182;2007-10-06;-6,047009909225405;1996-11-20;-32,44780209677418
